Wind,000905.SH,000905.SH,000905.SH,000905.SH,000905.SH
,中证500,中证500,中证500,中证500,中证500
日期,开盘价,最高价,最低价,收盘价,成交量
38616,921.92,922.18,908.983,909.787,1560313942
38617,906.049,907.29,866.949,880.013,1440832168
38618,876.31,883.536,868.158,868.549,979978400
38621,867.222,875.026,862.185,874.84,696568999
38622,875.097,877.662,856.495,856.958,880588126
38623,855.796,863.813,849.886,852.359,751078150
38624,852.038,871.487,852.038,871.291,883536020
38625,871.229,873.114,866.825,869.509,752996306
38635,870.049,870.049,857.965,858.748,611949522
38636,857.642,878.694,854.274,878.623,763526757
38637,879.05,891.862,874.98,887.711,945920510
38638,888.303,890.857,881.227,883.45,828704887
38639,882.872,883.841,873.46,876.053,795404996
38642,874.854,878.885,868.461,878.757,768788822
38643,878.781,893.979,878.454,893.699,971621052
38644,893.467,900.68,884.989,886.314,984363321
38645,885.34,886.835,872.477,886.551,952193584
38646,886.431,898.248,885.278,895.027,1002492703
38649,895.428,899.436,891.955,897.757,878935437
38650,896.693,896.693,877.543,877.577,867696644
38651,875.54,876.414,853.602,854.028,938201439
38652,851.081,856.967,841.864,847.593,810393716
38653,846.702,850.912,814.117,825.063,866896692
38656,823.233,831.178,819.355,828.659,649257458
38657,827.894,827.894,808.399,823.328,694423972
38658,823.206,843.154,823.206,840.316,909599265
38659,839.858,842.518,826.116,828.906,755962393
38660,828.04,835.224,820.895,835.122,644961044
38663,835.063,842.058,829.74,842.002,613296312
38664,841.929,849.111,835.812,848.965,729783834
38665,848.741,852.027,844.763,845.11,761274661
38666,843.62,843.62,820.639,821.269,843958006
38667,818.717,828.394,814.721,823.956,638009394
38670,821.782,827.581,819.189,827.569,446843616
38671,827.516,832.993,816.79,820.491,587161567
38672,820.066,826.692,808.212,826.692,554222441
38673,827.218,830.372,822.995,825.797,553381628
38674,824.804,845.7,824.359,843.738,969075674
38677,844.629,849.304,842.439,846.958,660867737
38678,847.182,847.451,831.365,831.771,627509055
38679,831.701,838.557,828.066,838.117,494042158
38680,837.678,843.959,836.858,841.699,553120116
38681,841.714,841.783,836.44,841.13,484954815
38684,841.211,841.876,835.052,838.342,459130528
38685,839.25,839.25,826.436,827.005,449955496
38686,826.335,829.704,821.673,829.5,480517458
38687,829.335,832.119,824.281,828.193,392720888
38688,827.154,827.91,816.422,817.864,439908623
38691,819.791,819.791,796.34,796.926,489537012
38692,795.111,800.578,792.113,798.878,372778249
38693,800.183,806.889,798.291,806.778,375535545
38694,807.406,808.903,801.192,805.561,389699945
38695,805.521,819.525,803.814,819.2,556345562
38698,820.109,825.608,817.934,824.518,546831096
38699,824.628,824.964,815.351,824.861,491743826
38700,824.861,833.472,819.527,832.513,593392904
38701,833.465,837.477,826.605,827.539,608947257
38702,827.162,834.658,824.517,834.537,519947452
38705,834.956,836.465,831.977,834.712,485956893
38706,834.885,836.281,829.361,836.119,445420270
38707,836.632,838.14,829.189,830.766,520574270
38708,830.447,835.56,828.321,835.503,508067618
38709,835.765,845.626,835.544,845.589,644609954
38712,846.931,855.127,846.8,853.169,786041550
38713,854.751,855.965,849.481,854.526,652886932
38714,854.641,857.263,852.22,857.206,561571724
38715,858.413,866.777,858.413,866.747,861709564
38716,868.442,869.264,857.713,860.131,755231609
38721,860.044,871.961,859.305,871.73,803901003
38722,872.088,882.813,871.603,882.732,1088581159
38723,884.924,896.055,879.178,891.94,1337023166
38726,893.525,905.431,892.211,905.068,1236129648
38727,907.635,911.294,898.73,911.191,1120008016
38728,910.761,915.018,901.397,906.496,1295314172
38729,906.939,927.42,905.426,927.42,1402461457
38730,930.303,935.528,924.546,932.499,1445938893
38733,933.217,935.527,919.916,920.332,1259213622
38734,918.52,922.68,914.376,919.279,891831946
38735,920.062,939.215,919.626,939.136,1147478663
38736,941.168,950.036,935.758,949.913,1398923475
38737,950.627,954.646,943.121,952.769,1477917237
38740,955.086,962.084,946.604,961.069,1412571419
38741,961.653,969.425,956.983,960.353,1410381926
38742,960.027,963.742,947.296,957.787,1281711153
38754,961.034,980.988,960.316,980.91,1292312167
38755,983.339,989.696,970.307,981.574,1701690792
38756,979.145,983.037,970.411,982.943,1358863093
38757,982.181,982.181,967.314,969.577,1183502422
38758,971.249,980.801,970.828,980.801,1179724437
38761,981.633,981.712,967.129,977.396,1139372163
38762,977.277,986.057,976.16,986.056,1044762810
38763,987.088,990.492,982.027,986.161,1232201619
38764,986.326,986.326,958.18,958.59,1447752683
38765,961.254,962.498,949.428,949.993,1124600767
